Koda,Besedilo
ADDED_TO_COMPARE_MSG,"{product_name} je bilo dodano na seznam primerjav."
REQUIRED_DELIVERY_MSG,"Izberite način dostave, prosim."
PROD_RESTRICTED_DELIVERY_MSG,"Oprostite, ampak {product_name}, v državo {country_name} se ne dostavlja"
NO_DELIVERY_FOR_ADDRESS_MSG,"Oprostite, tega naročila ne moremo dostaviti. Za vaš naslov ni na voljo nobenih načinov pošiljanja."
NO_PRODUCT_MSG,"Izdelka s tem ID-jem ni na voljo v tej kategoriji."
NO_PRODUCTS_MSG,"Izdelkov ni"
NO_PRODUCTS_MATCH_MSG,"Ni bilo najdeno izdelka, ki ustreza zahtevi."
FOUND_PRODUCTS_MSG,"Najdeno <b> {found_records} </b> izdelkov, ki ustrezajo zahtevi. ' <b> {search_string} </b> '"
PROD_DOWNLOAD_MSG,Namestiti
PROD_VER_MSG,verz.
PROD_RELEASES_MSG,"Izdaje {product_name}"
PROD_CHANGES_LOG_MSG,"Zgodovina sprememb {product_name}"
CHANGES_LOG_MSG,"Opis sprememb"
HISTORY_MSG,Zgodovina
ACTIVITY_MSG,Dejavnost
ALL_PRODUCTS_MSG,"Vsi izdelki"
ALL_PROD_RELEASES_MSG,"Vse izdaje"
NO_PROD_RELEASES_MSG,"Izdaje niso na voljo"
NO_RELEASE_CHANGES_MSG,"Spremembe niso na voljo"
SERIAL_NUMBER_MSG,S/Š
RECURRING_OPTIONS_MSG,"Opcije provizijskih plačil"
RECURRING_ACTIVATE_MSG,"Aktivirati rekurzivna plačila"
RECURRING_PERIOD_MSG,"Obdobje rekurzivnih plačil"
RECURRING_INTERVAL_MSG,"Rekurzivni interval"
RECURRING_INTERVAL_DESC,"Trajanje cikla periodičnih plačil"
RECURRING_PAYMENTS_TOTAL_MSG,"Količina plačil"
RECURRING_PAYMENTS_TOTAL_DESC,"Skupna količina rekurzivnih plačil"
RECURRING_PAYMENTS_MADE_MSG,"Izvedena plačila"
RECURRING_PAYMENTS_FAILED_MSG,"Neuspešna plačila"
RECURRING_START_DATE_MSG,"Začetni datum plačil"
RECURRING_START_DATE_DESC,"Datum začetka ponovljenih plačil"
RECURRING_END_DATE_MSG,"Končni datum plačil "
RECURRING_END_DATE_DESC,"Datum končnice plačil"
RECURRING_LAST_PAYMENT_MSG,"Datum zadnjega plačila"
RECURRING_PLAN_PAYMENT_MSG,"Načrtovani datum plačil"
RECURRING_NEXT_PAYMENT_MSG,"Datum naslednjega plačila"
RECURRING_METHOD_MSG,"Metoda ponavljanja"
RECURRING_NOT_ALLOWED_MSG,"Ni dovoljeno"
RECURRING_NOT_ALLOWED_ERROR,"Izdelek s ponavljajočimi se plačilami ni na voljo za metodo plačila '{payment_name}'. Izberite drug način."
RECURRING_AUTO_CREATE_MSG,"Samodejno ustvariti naročilo za naslednje plačilo"
RECURRING_AUTO_BILL_MSG,"Samodejno ustvariti in plačati za ponavljajoča se naročila"
RECURRING_SHIPPING_MSG,"Potrditi nakup za ponavljajoče se plačilo"
RECURRING_PROCEED_CURRENT_MSG,"Opraviti ponavljajoče se plačilo"
SUBSCRIPTION_MSG,Naročnina
SUBSCRIPTION_OPTIONS_MSG,"Opcije naročnine"
SUBSCRIPTION_ACTIVATE_MSG,"Aktivirati naročnino"
SUBSCRIPTION_RECURRING_MSG,"Naročnina na ponovna sporočila"
SUBSCRIPTION_NAME_MSG,"Ime naročnine "
SUBSCRIPTION_FEE_MSG,"Plačilo za naročnino"
SUBSCRIPTION_PERIOD_MSG,"Obdobje naročnine"
SUBSCRIPTION_INTERVAL_MSG,"Interval naročnine"
SUBSCRIPTION_INTERVAL_DESC,"Trajanje cikla naročnine"
SUBSCRIPTION_SUSPEND_MSG,"Premor naročnine"
SUBSCRIPTION_SUSPEND_DESC,"Količina dni na kateri je začasno prekinjena naročnina"
SUBSCRIPTION_CANCEL_MSG,"Preklicati naročnino"
SUBSCRIPTION_REWARDS_MSG,"Dodajanje bonusov in kreditov naročnine"
SUBSCRIPTION_FEE_PERCENTAGE_MSG,"Odstotek bonusi naročnine"
SUBSCRIPTION_FIXED_AMOUNT_MSG,"Fiksirana količina za naročnino"
CONFIRM_SUBSCRIPTION_MSG,"Dodati izbrano v košarico?"
ADDED_SUBSCRIPTION_MSG,"Dodana je naročnina na {subscription_name}."
SELECT_SUBSCRIPTION_MSG,"Izberite naročnino, ki jo želite dodati, prosim."
NO_ACTIVE_PS_MSG,"Oprostite, ni nobenih aktivnih plačilnih sistemov."
ORDER_STATUS_MSG,"Status naročila"
SELECT_ORDER_STATUS_MSG,"Izbrati stanje naročila"
PRODUCT_STATUS_MSG,"Status izdelka"
SELECT_PRODUCT_STATUS_MSG,"Izberite status izdelka"
WISHLIST_PRODUCTS_MSG,"Seznam želja"
WISHLIST_NOT_EXISTS_MSG,"Zahtevanega seznama želja ni bilo mogoče najti."
WISHLIST_BOUGHT_MSG,Kupljeno
WISHLIST_WANTS_MSG,Hočem
WISHLIST_HAS_MSG,za
FIND_FRIEND_WISHLIST_MSG,"Poiskati prijateljev seznam z željami daril"
FIND_WISHLIST_BUTTON,"Poiskati želja"
FIND_WISHLIST_DESC,"Če želite najti seznam želja z darili, ki ga želi prejeti vaš prijatelj ali družinski član, v iskalno vrstico vnesite njegov e-poštni naslov."
CONFIRM_WISHLIST_DELETE_MSG,"Ali želite to odstraniti s svojega seznama želja?"
COUPON_MSG,"Kupon za popust"
COUPON_NOT_FOUND_MSG,"Kupon s to kodo ni bil najden"
COUPON_NON_ACTIVE_MSG,"Ta kupon ni aktiven"
COUPON_USED_MSG,"Ta kupon je že uporabljen."
COUPON_EXPIRED_MSG,"Kupon je potekel."
COUPON_EXCLUSIVE_MSG,"Ta kupon ni mogoče uporabljati s kuponi, ki ste jih že uporabili."
COUPON_ALREADY_APPLIED_MSG,"Ta kupon je že uporabljen."
COUPON_PRODUCTS_MSG,"Tega kupona ni mogoče uporabiti skupaj z izdelkom v košarici."
COUPON_ORDER_AMOUNT_MSG,"Ta kupon ni mogoče uporabiti za vaš trenutni nakup. <br> Najmanjša količina tega kupona je {minimum_amount}"
COUPON_PROD_PRICE_MSG,"Ta kupona ni mogoče uporabiti za vaš izdelek. <br> Najmanjša cena izdelka za ta kupon je {minimum_amount}"
COUPON_REMOVE_MSG,"Zbrisati kupon"
COUPON_CODE_FIELD,"Koda kupona"
COUPON_UPCOMING_MSG,"Ta kupon ni mogoče uporabiti."
COUPON_CANT_BE_USED_MSG,"Tega kupona ne morete uporabljati"
COUPON_CAN_BE_USED_ONCE_MSG,"Ta kupon lahko uporablja samo enkrat registriranim uporabnikom"
COUPON_SAME_USE_LIMIT_MSG,"Ta kupon se lahko uporablja le z omejitvijo {use_limit} za registrirane uporabnike."
COUPON_APPLIED_MSG,"Kupon je bil uspešno uporabljen."
COUPON_ADDED_MSG,"Kupon je bil uspešno dodan."
COUPON_MIN_QTY_ERROR,"Oprostite, tega kupona ni mogoče uporabiti. <br> Najmanjša naročena količina mora biti ne manj, kot {min_quantity}."
COUPON_MAX_QTY_ERROR,"Oprostite, tega kupona ni mogoče uporabiti. <br> Največja dovoljena količina v naročilu za ta kupon ne sme presegati {max_quantity}."
COUPON_CANT_BE_APPLIED_ERROR,"Oprostite, tega kupona ni mogoče uporabiti za ta nakup."
MIN_CART_COST_ERROR,"Najmanjši znesek naročila za ta kupon je {cart_amount}"
MAX_CART_COST_ERROR,"Največji znesek naročila za ta kupon je {cart_amount}"
FRIEND_AFFILIATE_FORM_MSG,"Prijatelj / Partner"
FRIEND_AFFILIATE_FORM_DESC,"Prosimo, vnesite polje pod podružnični vzdevek ali  kodo svojega prijatelja in pritisnite '{APPLY BUTTON}'."
NO_USERS_MSG,"Uporabnikov ni bilo mogoče najti"
FRIEND_FOUND_MSG,"Našli smo tvojega prijatelja."
AFFILIATE_FOUND_MSG,"Vaša partnerska koda je bila sprejeta."
CC_NAME_FIELD,"Ime imetnika kartice"
CC_NAME_DESC,"kot je zapisano na kartici"
CC_FIRST_NAME_FIELD,Ime
CC_LAST_NAME_FIELD,Priimek
CC_NUMBER_FIELD,"Številka kartice"
CC_NUMBER_ERROR_MSG,"Napačna številka kreditne kartice - preverite in poskusite znova."
CC_NUMBER_ALLOWED_MSG,"Oprostite, ta kartica ni primerna za to plačilo."
CC_START_DATE_FIELD,"Datum aktivacije kartice"
CC_EXPIRY_DATE_FIELD,"Datum prenehanja veljavnosti"
CC_TYPE_FIELD,"Vrsta kartice"
CC_ISSUE_NUMBER_FIELD,Številka
CC_ISSUE_NUMBER_DESC,"Samo za kartice Switch & Solo"
CC_SECURITY_CODE_FIELD,"Tajna koda"
CC_SECURITY_CODE_HELP_MSG,Pomoč?
CC_SECURITY_CODE_TITLE,"Kaj je tajna koda?"
CC_SECURITY_CODE_1_DESC,"Varnostna koda kartice - Tri edinstvene številke, natisnjene na vaši debetni / kreditni kartici. Ta številka ni reliefna na kartico in ni natisnjena na potrdilih - ni znana nikomur razen imetniku kreditne kartice. Nekateri proizvajalci kličejo to številko 'Card Security Code', 'Personal Security Code' ali 'Card Verification Value'."
CC_SECURITY_CODE_2_DESC,"Za večino kartic je ta trimestna številka natisnjena na traku za podpise na zadnji strani kartice."
PAY_WITHOUT_CC_MSG,"Če ne želite plačevati s kreditno kartico, kliknite tukaj."
PAY_WITHOUT_CC_FIELD,"Druge podatke o plačilu"
PAY_WITHOUT_CC_DESC,"Sporočite nam, kako želite plačati za svoje predmete."
ORDER_NUMBER_COLUMN,Številka
ORDER_ADDED_COLUMN,Datum
ORDER_TOTAL_COLUMN,Skupaj
ORDER_NUMBER_MSG,"Številka naročila"
PARENT_ORDER_NUMBER_MSG,"Številka naročila starša"
ORDER_DATE_MSG,"Datum naročila"
ORDER_TOTAL_MSG,Skupaj
INVOICE_MSG,Račun
INVOICE_NUMBER_MSG,"Številka računa (naročila)"
INVOICE_DATE_MSG,"Datum računa"
INVOICE_TO_MSG,Naročnik
TRANSACTION_NUMBER_MSG,"Številka transakcije"
ORIGINAL_COPY_MSG,Izvirnik
COPY_NUMBER_MSG,"Kopija №{copy_number}"
CREDIT_NOTE_MSG,"Opomba k kreditu"
CREDIT_NUMBER_MSG,"№ kredita"
CREDIT_DATE_MSG,"Datum kredita"
CREDIT_TO_MSG,"Kredit za"
DELIVERY_TO_MSG,"Podatke za dostavo"
PAYMENT_GATEWAY_MSG,"Način plačila"
SELECT_PAYMENT_MSG,"Izberite plačilni sistem ali način plačila, prosim."
GOTO_PAYMENT_MSG,"Zdaj boste preusmerjeni na {Payment_system}. Če se to ne zgodilo, za nadaljevanje kliknite gumb ' {button_name} '."
PAYMENT_INFO_MSG,"Podatki o plačilu"
MY_ORDERS_MSG,"Moja naročila"
MY_ORDERS_DESC,"Ko ste naročili, lahko vedno dobite podatke o njegovem stanju, shranite ali natisnete račun."
MY_SALES_ORDERS_MSG,"Naročila na moje izdelke"
MY_SALES_ORDERS_DESC,"Podatki o naročilih na Vaše izdelke"
PURCHASED_ORDERS_MSG,"Plačana naročila"
NO_ORDERS_MSG,"Naročil še ni"
NO_ORDERS_MATCH_MSG,"Za vaše kriterije iskanja ni bilo najdenih rezultatov."
ORDER_DETAILS_MSG,"Podatki o naročilu"
PERSONAL_AND_DELIVERY_DATA_MSG,"Osebni podatki"
PAYMENT_DETAILS_MSG,"Podatki o plačilu"
CHECKOUT_SUCCESS_TITLE,"Hvala za nakup!"
CHECKOUT_SUCCESS_MSG,"Hvala, vaše naročilo je bilo uspešno dodano. Številka naročila - {order_id}"
CHECKOUT_PENDING_TITLE,"Vaše naročilo se nahaja v pregledu..."
CHECKOUT_PENDING_MSG,"Vaše plačilo ni dokončno in čaka na odobritev."
CHECKOUT_ERROR_TITLE,"Napaka pri naročilu"
CHECKOUT_ERROR_MSG,"Pri obdelavi vašega naročila je prišlo do napake. Obžalujemo nastale nevšečnosti."
ORDER_CODE_ERROR,"Parameter veljavnosti ima napačno vrednost."
ORDER_PLACED_ERROR,"<b> Naročilo </b> je že bilo dodano."
ORDER_EXISTS_ERROR,"Takšno <b> Naročilo </b> ne obstaja."
ORDER_NOTES_MSG,"Opombe o naročilu"
ORDER_NOTE_MSG,"Opomba o naročilu"
CANCEL_ORDER_MSG,"Preklic naročila"
CANCEL_ORDER_CONFIRM_MSG,"Ali ste prepričani, da želite preklicati to naročilo?"
GROSS_SALES_MSG,"Skupne prodaje"
FEES_MSG,Izplačila
NET_SALES_MSG,"Čiste prodaje"
ITEMS_NUMBER_COLUMN,"Količina izdelkov"
AVERAGE_PRICE_COLUMN,"Povprečna cena"
PAID_STATUS_MSG,"Status plačila"
PAID_MSG,Plačano
NOT_PAID_MSG,"Ni plačano"
PAY_FOR_YOUR_ORDER_MSG,"Do plačila po naročilu"
REORDER_MSG,Preurediti
ORDER_MIN_PRODUCTS_COST_FIELD,"Najmanjši stroški izdelkov v naročilu"
ORDER_MAX_PRODUCTS_COST_FIELD,"Največji stroški izdelkov v naročilu"
ORDER_MIN_WEIGHT_FIELD,"Najmanjša teža naročila"
ORDER_MAX_WEIGHT_FIELD,"Največja teža naročila"
ORDER_MIN_PRODUCTS_COST_ERROR,"Oprostite, vendar, naročila, na skupni znesek manjši od {min_cost} ne bomo sprejeli"
ORDER_MAX_PRODUCTS_COST_ERROR,"Skupni stroški izdelkov v enem naročilu ne sme presegati {max_cost}."
ORDER_MIN_WEIGHT_ERROR,"Skupna teža izdelkov v enem naročilu ne sme biti manjša od {min_weight}."
ORDER_MAX_WEIGHT_ERROR,"Skupna teža izdelkov v enem naročilu ne sme biti večja od {max_weight}."
PURCHASED_PRODUCT_ERROR,"Oprostite, ste že naročili '{product_name}'. Izdelka ne morete več naročiti."
PURCHASED_PRODUCT_DAYS_ERROR,"Oprostite, ste že naročili '{product_name}'. Izdelka ne morete več naročiti v roku {days_number} dni."
PREVENT_REPURCHASE_MSG,"Prepoved ponovnega naročila"
PREVENT_PRODUCT_REPURCHASE_MSG,"Prepovedati ponovno naročanje istega izdelka za določeno obdobje."
REPURCHASE_PERIOD_MSG,"Prepovedano obdobje"
REPURCHASE_PERIOD_DESC,"pustite polje prazno, če želite sploh prepovedati ponovno naročanje"
MANUFACTURER_CODE_MSG,"Koda proizvajalca"
SHOW_MANUFACTURER_CODE_MSG,"Pokazati kodo proizvajalca"
APPROPRIATE_CODE_ERROR_MSG,"Sorodno naročilo manjka"
APPROPRIATE_LIBRARY_ERROR_MSG,"Sorodna php knjižnica manjka"
LINKS_SENT_MSG,"Povezava je poslana"
LINKS_FOR_ORDER_MSG,"Povezava do vašega naročila #"
SERIAL_NUMBERS_FOR_ORDER_MSG,"Serijska številka Vašega naročila #"
SERIAL_NUMBERS_SENT_MSG,"Serijska številka je poslana"
NO_SERIAL_NUMBERS_MSG,"Serijske številke niso na voljo."
GIFT_VOUCHER_MSG,"Darilni kupon"
GIFT_VOUCHERS_MSG,"Kuponi popustov"
EDIT_GIFT_VOUCHER_MSG,"Urediti darilni kupon"
GIFT_VOUCHERS_FOR_ORDERS_MSG,"Darilni bon za Vašo naročilo #"
GIFT_VOUCHERS_SENT_MSG,"Darilni bon je poslan"
USER_VOUCHER_MSG,"User Voucher"
PURCHASE_FEE_MSG,"Stroški nakupa"
VOUCHER_PURCHASE_ERROR,"Nimate dovoljenja za nakup bonov"
SENDER_NAME_MSG,"Ime pošiljatelja"
RECEIVER_NAME_MSG,"Ime prejemnika"
RECEIVER_EMAIL_MSG,"E-pošta prejemnika"
RECEIVER_NOT_FOUND_ERROR,"Uporabnika za določeno e-pošto ne najdemo"
RECEIVER_OWNER_ERROR,"Bona ne morete poslati sebi"
CONFIRMATION_MSG,Potrdilo
CONFIRMATION_CODE_MSG,"Koda potrdila"
CONFIRM_TRANSFER_MSG,"Potrditi prenos"
TRANSFER_CODE_ERROR,"Prenosna koda se ni ujemala"
TRANSFER_ATTEMPTS_ERROR,"Oprostite, ste presegli število poskusov, počakajte prosim {interval_time}"
TRANSFER_AMOUNT_MSG,"Prenosni znesek"
TRANSFER_FEE_MSG,"Provizija za prenos"
TRANSFER_CODE_MSG,"Prenosna koda"
TRANSFER_CODE_DESC,"Vnesite kodo, ki smo jo poslali na vaš e-poštni naslov, da potrdimo prenos."
TRANSFER_SENT_DESC,"Vaš prenos {transfer_amount} je bil poslan {receiver_name}."
CASH_OUT_AMOUNT_MSG,"Znesek za izplačilo"
CASH_OUT_FEE_MSG,"Provizija za izplačilo denarja"
CASH_OUT_VOUCHER_MSG,"Bon za izplačilo denarja"
CASH_OUT_CONFIRM_DESC,"Vnesite kodo, ki smo jo poslali na vaš e-poštni naslov, da potrdimo izplačilo denarja."
CASH_OUT_SENT_DESC,"Vaša zahteva za izplačilo denarja za {transfer_amount} je bila poslana."
VOUCHER_AMOUNT_MSG,"Znesek bona"
VOUCHER_CODE_MSG,"Koda bona"
VOUCHER_RECEIVER_MSG,"Prejemnik bonov"
CODE_VALID_TILL_MSG,"Koda veljaven do"
VOUCHER_ADDED_EVENT,"Bon je dodan"
VOUCHER_PURCHASED_EVENT,"Bon je kupljen"
VOUCHER_SENT_EVENT,"Bon je poslan na {receiver_name}"
VOUCHER_RECEIVED_EVENT,"Bon je prejel od {sender_name}"
VOUCHER_USED_EVENT,"Bon je uporabljen"
VOUCHER_CASHED_OUT_EVENT,"Bon je unovčil"
VOUCHER_SUBTRACT_AMOUNT_MSG,"Odšteti znesek iz bona"
VOUCHER_ADD_AMOUNT_MSG,"Dodati znesek na kupon"
CREDIT_AMOUNT_MSG,"Količina kreditov"
SUBSTRACT_CREDIT_AMOUNT_MSG,"Odšteti kredit od stanja uporabnika"
ADD_CREDIT_AMOUNT_MSG,"Dodati kredit v stanje uporabnika"
CREDIT_ACTION_MSG,"Dejanje s kreditom"
PACKING_SLIP_NO_MSG,"Številka embalaže:"
REGISTER_PRODUCT_MSG,"Registrirati izdelek"
MY_PRODUCT_REGISTRATIONS_MSG,"Moje registrirane izdelke"
MY_PRODUCT_REGISTRATIONS_DESC,"Ni registriranih izdelkov"
REGISTER_MORE_PRODUCTS_MSG,"Registrirati še izdelke"
REGISTRATION_NUMBER_MSG,"Registracijska številka"
NO_PRODUCT_REGISTRATIONS_MSG,"Ni registriranih izdelkov"
REGISTRATION_PROD_CODE_COLUMN,koda
REGISTRATION_TOTAL_COLUMN,Skupaj
REGISTRATION_PROD_TITLE_COLUMN,Naslov
PRODUCT_REGISTRATION_MSG,Registracija
PRODUCT_REGISTRATION_SETTINGS_MSG,"Nastavitve registracije izdelkov"
VIEW_REGISTERED_PRODUCTS_MSG,Pregled
EDIT_REGISTERED_PRODUCTS_MSG,Urediti
EDIT_REGISTRATION_CATEGORIES_MSG,"Urediti kategorije"
EDIT_REGISTRATION_PRODUCTS_MSG,Urediti
OPTIONS_TRADE_PRICE_MSG,"Trgovna cena opcije"
DEFAULT_LARGE_IMAGE_DESC,"prikazano, če ni slike"
DEFAULT_LARGE_IMAGE_MSG,"Velika slika (privzeto)"
LATEST_ADDED_PRODUCTS_REGISTRATIONS_MSG,"Zadnje dodane registracije"
LATEST_MODIFIED_PRODUCTS_REGISTRATIONS_MSG,"Zadnje spremenjene registracije"
LATEST_ADDED_REGISTRATION_PRODUCTS_MSG,"Zadnji dodani izdelki"
LATEST_MODIFIED_REGISTRATION_PRODUCTS_MSG,"Zadnji spremenjeni izdelki"
REGISTRATION_PRODUCTS_MSG,"Registrirani izdelki"
NO_REGISTRATION_PRODUCTS_MSG,"Ni izdelkov za registracijo"
BY_REGISTRATION_NUMBER_MSG,"Po registracijski številki"
BY_PRODUCT_ID_MSG,"Po ID izdelka"
SEARCH_REGISTRATIONS_MSG,"Iskanje registracije"
SELECT_REGISTRATIONS_NOTE,"Izbrati registracije"
REMOVE_SELECTED_REGISTRATIONS_QST,"Zbrisati izbrane registracije"
EDIT_REGISTRATION_CATEGORY_MSG,"Zbrisati kategorijo"
EDIT_PRODUCT_REGISTRATION_MSG,Urediti
IM_DONE_REGISTERING_MSG,"Registracija je zaključena"
PRODUCT_REGISTRATION_PLACED_EMAIL_MSG,"E-poštni naslov o umestitvi"
PRODUCT_REGISTRATION_APPROVED_EMAIL_MSG,"E-poštno sporočilo o odobritvi"
PRODUCT_REGISTRATION_DECLINED_EMAIL_MSG,"E-poštno sporočilo o zavrnitvi"
STORE_NAME_FORM_MSG,"kupljeno v (Ime trgovine)"
PREDEFINED_ORDER_EMAIL_MSG,"E-pošta za komunikacijo privzeto"
DATE_OF_PURCHASE_MSG,"Datum nakupa"
STORE_NAME_MSG,"Ime torgovine"
NO_PRODUCTS_IN_CATEGORY_MSG,"V izbrani kategoriji ni izdelkov."
REGISTRATION_ID_MSG,"Registracijska številka"
DAY_OF_PURCHASE_MSG,"Dan registracije"
MONTH_OF_PURCHASE_MSG,"Mesec registracije"
YEAR_OF_PURCHASE_MSG,"Leto registracije"
MERCHANT_STATUS_NOTIFY_MSG,"Poslati obvestilo privzeto uporablja prodajalčev e-poštni naslov iz njegovega profila"
MERCHANT_PRODUCTS_MSG,"Trgovski izdelki"
ADMIN_STATUS_NOTIFY_MSG,"Poslati obvestilo administratorju s tem statusom"
SUPPLIER_NOTIFY_MSG,"Obvestilo dobavitelja"
SUPPLIER_STATUS_NOTIFY_MSG,"Poslati obvestilo dobavitelju s tem statusom"
SUPPLIER_EMAIL_IF_EMPTY_MSG,"sistem privzeto uporablja poštni naslov dobavitelja iz njegovega profila"
SUPPLIER_PRODUCTS_MSG,"Izdelki dobavitelja"
AFFILIATE_STATUS_NOTIFY_MSG,"Poslati obvestilo partnerju, če je uporabljen status"
AFFILIATE_EMAIL_IF_EMPTY_MSG,"Partnerska e-pošta, ki se uporablja, če je prazna"
AFFILIATE_PRODUCTS_MSG,"Partnerski izdelki"
RECURRING_PRICE_MSG,"Znesek vračila"
RECURRING_PRICE_DESC,"ta znesek bo dodan vsem vrnjenim plačilam"
CART_PRODUCTS_MSG,"Košarica izdelkov"
CART_RESTRICTIONS_MSG,"Omejitve košarice"
CART_QUANTITY_MSG,"Količina v košarici"
SUBCOMPONENT_ADDED_ONCE_MSG,"komponentna se doda samo enkrat z navedeno količino"
SUBCOMPONENT_QTY_MULTIPLY_MSG,"Spemeniti količino podkompnente s količino osnovnega izdelka"
CUSTOMERS_LIST_BOUGHT_ITEM_TITLE,"Uporabniki, ki so naročili ta izdelek"
VIEW_MERCHANT_PRODUCTS_MSG,"Pogledati izdelki uporabnikov"
SHIPPING_CALCULATOR_MSG,"Kalkulator dostave"
NO_SHIPPING_METHODS_MSG,"Metod dostave ni bilo mogoče najti"
NO_SHIPPING_MSG,"Ni dostave"
CUSTOM_SHIPPING_MSG,"Edinstvena dostava"
NEW_SHIPPING_MSG,"Nova dostava"
REMOVE_PRODUCT_SHIPPING_MSG,"Ali želite odstraniti {item_name} iz te dostave?"
ADD_MORE_COLUMNS_QST,"Dodati več stolpcev?"
DEFAULT_TABLE_VIEW_MSG,"Uporabiti privzete nastavitve"
OVERRIDE_TABLE_VIEW_MSG,"Edinstvene nastavitve"
TABLE_VIEW_TYPE_MSG,"Vrsta tablice za prikaz"
PARAMETER_WRONG_VALUE_MSG,"parameter {param_name} ima napačno vrednost vrednost."
CANNOT_OBTAIN_PARAMETER_MSG,"Ni bilo mogoče dobiti parametra {param_name}."
TRANSACTION_DECLINED_MSG,"Oprostite, vaša transakcija je bila  zavrnjena."
UNEXPECTED_GATEWAY_RESPONSE_MSG,"Ne strandartni  prehod za plačilo na vašo zahtevo."
EMPTY_GATEWAY_RESPONSE_MSG,"Prazen odgovor prehoda za plačilo. Preverite nastavitve, prosim."
CURL_INIT_ERROR_MSG,"сURL ni mogoče inicializirati."
PROCESSING_TRANSACTION_ERROR_MSG,"Oprostite, je pri obdelavi transakcije prišlo do napake."
UPS_PARAMETER_REQUIRED_MSG,"Napaka UPS-modula: potreben je {param_name}."
STATUS_NEW_ORDER_MSG,"Novo naročilo"
STATUS_PAYMENT_DATA_MSG,"Plačilo naročila"
STATUS_CONFIRMED_MSG,Potrjen
STATUS_PAID_MSG,Plačan
STATUS_SHIPPED_MSG,Pošljen
STATUS_PENDING_MSG,"V čakanju"
STATUS_CLOSED_MSG,Zaprt
STATUS_DECLINED_MSG,Zavrnjeni
STATUS_VALIDATED_MSG,Preverjeni
STATUS_FAILED_MSG,Neuspešni
STATUS_DISPATCHED_MSG,Odpremljen
STATUS_CANCELLED_MSG,Preklican
STATUS_REFUNDED_MSG,"Vrnitev enarja"
STATUS_CAPTURED_MSG,"Odpis denarja"
STATUS_VOIDED_MSG,Neveljavljen
STATUS_AUTHORIZED_MSG,Avtorizirani
STATUS_INVOICE_SENT_MSG,"Račun poslan"
STATUS_QUOTE_REQUEST_MSG,"Prijava na oceno"
STATUS_PARTIALLY_PAID_MSG,"Delno plačilo"
